run,best,epoch,train_loss,train_acc,test_loss,test_acc
1,0,1,1.3353435259598951,0.3689655065536499,1.1395825147628784,0.4333333373069763
1,0,2,1.095417504127209,0.5,1.0621464252471924,0.6333333253860474
1,0,3,1.2807528055631197,0.43103447556495667,1.0858992338180542,0.4166666567325592
1,0,4,0.8801142298258268,0.6310344934463501,1.521865725517273,0.6499999761581421
1,0,5,1.025789118730105,0.5965517163276672,0.8895078301429749,0.800000011920929
1,0,6,0.7745488859139956,0.6862068772315979,1.003043532371521,0.8500000238418579
1,0,7,0.7831828387883993,0.7241379022598267,0.8036448955535889,0.7833333611488342
1,0,8,0.7537382451387552,0.6793103218078613,0.6080640554428101,0.9166666865348816
1,0,9,0.7050572748367603,0.7275862097740173,0.6966908574104309,0.8500000238418579
1,0,10,0.7113934915799361,0.7310344576835632,0.8018450140953064,0.8500000238418579
1,0,11,0.6901200642952552,0.7448275685310364,0.9894029498100281,0.6666666865348816
1,0,12,0.6901601822330401,0.7827585935592651,0.5818846225738525,0.8333333134651184
1,0,13,0.5169037064680686,0.8137931227684021,0.8318342566490173,0.8666666746139526
1,0,14,0.6066364038449067,0.8137931227684021,0.8122037649154663,0.75
1,0,15,0.5839758194409884,0.7965517044067383,0.6165351867675781,0.9166666865348816
1,0,16,0.6313632932993082,0.800000011920929,0.6889449954032898,0.9333333373069763
1,0,17,0.5661757267438449,0.8206896781921387,1.0057486295700073,0.9166666865348816
1,0,18,0.49538371196159947,0.8689655065536499,1.1867525577545166,0.8833333253860474
1,0,19,0.4295341858210472,0.865517258644104,0.8331710696220398,0.9333333373069763
1,0,20,0.3600065421599608,0.8689655065536499,0.7241182327270508,0.9166666865348816
1,0,21,0.4194110826804088,0.8689655065536499,0.7072779536247253,0.9166666865348816
1,0,22,0.4297033210213368,0.8758620619773865,0.7012279629707336,0.9166666865348816
1,0,23,0.4584110505305804,0.8551723957061768,0.7652819156646729,0.8666666746139526
1,0,24,0.3584544560513817,0.9034482836723328,0.7546404004096985,0.9166666865348816
1,0,25,0.4571355523971411,0.8517241477966309,0.6300864815711975,0.9166666865348816
1,0,26,0.605936756500831,0.8517241477966309,0.7004686594009399,0.8999999761581421
1,0,27,0.5173154530616907,0.8758620619773865,0.7502990365028381,0.9333333373069763
1,0,28,0.4447091371537401,0.865517258644104,0.545965313911438,0.8833333253860474
1,0,29,0.4867848619245566,0.8448275923728943,0.5019081830978394,0.9166666865348816
1,0,30,0.3810866681429056,0.882758617401123,0.7665953040122986,0.8666666746139526
1,0,31,0.40637203485060197,0.8862069249153137,0.5251529812812805,0.8999999761581421
1,0,32,0.3871862754727212,0.8379310369491577,0.5280343294143677,0.9333333373069763
1,0,33,0.3000007111292619,0.882758617401123,0.9490670561790466,0.8833333253860474
1,0,34,0.3230132022156165,0.8931034207344055,0.8610031604766846,0.8666666746139526
1,0,35,0.35821725306316066,0.8793103694915771,0.8946254253387451,0.8999999761581421
1,0,36,0.34322807789207077,0.8931034207344055,1.0259521007537842,0.8833333253860474
1,0,37,0.263328350705426,0.9068965315818787,0.9204012155532837,0.9333333373069763
1,0,38,0.48624417873529285,0.8724138140678406,0.8345298767089844,0.9166666865348816
1,0,39,0.3998313964559482,0.8862069249153137,0.44449278712272644,0.8999999761581421
1,0,40,0.3881438626692845,0.8931034207344055,0.7552456259727478,0.8999999761581421
